subAU,year,value,ens,scen,rcp
rus1_sz4,2034,1.7856968927550092,ens1,Pol,2p6
rus1_sz5,2034,0.81486543792125965,ens1,Pol,2p6
rus1_sz2,2035,1.323566683497638,ens1,Pol,2p6
rus1_sz3,2035,1.7853056877852227,ens1,Pol,2p6
rus1_sz4,2035,1.7853056877852227,ens1,Pol,2p6
rus1_sz5,2035,0.8146869197134298,ens1,Pol,2p6
rus1_sz2,2036,1.3222471738634771,ens1,Pol,2p6
rus1_sz3,2036,1.7835258544875683,ens1,Pol,2p6
rus1_sz4,2036,1.7835258544875683,ens1,Pol,2p6
rus1_sz5,2036,0.8138747300045243,ens1,Pol,2p6
rus1_sz2,2037,1.320927664229316,ens1,Pol,2p6
rus1_sz3,2037,1.7817460211899139,ens1,Pol,2p6
rus1_sz4,2037,1.7817460211899139,ens1,Pol,2p6
rus1_sz5,2037,0.8130625402956189,ens1,Pol,2p6
rus1_sz2,2038,1.319608154595155,ens1,Pol,2p6
rus1_sz3,2038,1.7799661878922595,ens1,Pol,2p6
rus1_sz4,2038,1.7799661878922595,ens1,Pol,2p6
rus1_sz5,2038,0.8122503505867135,ens1,Pol,2p6
rus1_sz2,2039,1.3182886449609938,ens1,Pol,2p6
rus1_sz3,2039,1.7781863545946048,ens1,Pol,2p6
rus1_sz4,2039,1.7781863545946048,ens1,Pol,2p6
rus1_sz5,2039,0.811438160877808,ens1,Pol,2p6
rus1_sz2,2040,1.3169691353268327,ens1,Pol,2p6
rus1_sz3,2040,1.7764065212969504,ens1,Pol,2p6
rus1_sz4,2040,1.7764065212969504,ens1,Pol,2p6
rus1_sz5,2040,0.8106259711689026,ens1,Pol,2p6
rus1_sz2,2041,1.3148514994793914,ens1,Pol,2p6
rus1_sz3,2041,1.7735501277580135,ens1,Pol,2p6
rus1_sz4,2041,1.7735501277580135,ens1,Pol,2p6
rus1_sz5,2041,0.8093225157048622,ens1,Pol,2p6
rus1_sz2,2042,1.3127338636319499,ens1,Pol,2p6
rus1_sz3,2042,1.7706937342190763,ens1,Pol,2p6
rus1_sz4,2042,1.7706937342190763,ens1,Pol,2p6
rus1_sz5,2042,0.8080190602408218,ens1,Pol,2p6
rus1_sz2,2043,1.3106162277845088,ens1,Pol,2p6
rus1_sz3,2043,1.7678373406801395,ens1,Pol,2p6
