year,ens,scen,rcp,value
2015,ens8,Ref,2p6,5.868815279901961
2015,ens8,Ref,8p5,5.868815279901961
2015,ens9,Pol,2p6,5.868815279901961
2015,ens9,Ref,2p6,5.868815279901961
2015,ens9,Ref,8p5,5.868815279901961
2016,ens1,Pol,2p6,5.844073116904762
2016,ens1,Ref,2p6,5.8440874408123245
2016,ens1,Ref,8p5,5.844096990084035
2016,ens10,Pol,2p6,5.8440349198179264
2016,ens10,Ref,2p6,5.844054018361344
2016,ens10,Ref,8p5,5.844054018361344
2016,ens11,Pol,2p6,5.8440349198179264
2016,ens11,Ref,2p6,5.844054018361344
2016,ens11,Ref,8p5,5.844054018361344
2016,ens12,Pol,2p6,5.8440349198179264
2016,ens12,Ref,2p6,5.844054018361344
2016,ens12,Ref,8p5,5.844054018361344
2016,ens13,Pol,2p6,5.844058792997199
2016,ens13,Ref,2p6,5.844077891540616
2016,ens13,Ref,8p5,5.844077891540616
2016,ens2,Pol,2p6,5.844073116904762
2016,ens2,Ref,2p6,5.8440874408123245
2016,ens2,Ref,8p5,5.84408266617647
2016,ens3,Pol,2p6,5.84409221544818
2016,ens3,Ref,2p6,5.844111313991596
2016,ens3,Ref,8p5,5.844111313991596
2016,ens4,Pol,2p6,5.8440683422689075
2016,ens4,Ref,2p6,5.84408266617647
2016,ens4,Ref,8p5,5.844073116904762
2016,ens5,Pol,2p6,5.844063567633053
2016,ens5,Ref,2p6,5.844077891540616
2016,ens5,Ref,8p5,5.844077891540616
2016,ens6,Pol,2p6,5.844077891540616
2016,ens6,Ref,2p6,5.84409221544818
2016,ens6,Ref,8p5,5.8440874408123245
2016,ens7,Pol,2p6,5.8440683422689075
2016,ens7,Ref,2p6,5.84408266617647
2016,ens7,Ref,8p5,5.84408266617647
2016,ens8,Pol,2p6,5.8440683422689075
2016,ens8,Ref,2p6,5.8440874408123245
2016,ens8,Ref,8p5,5.84408266617647
2016,ens9,Pol,2p6,5.844073116904762
2016,ens9,Ref,2p6,5.84409221544818
2016,ens9,Ref,8p5,5.84408266617647
2017,ens1,Pol,2p6,5.8193309539075635
2017,ens1,Ref,2p6,5.81935960172269
2017,ens1,Ref,8p5,5.819378700266107
2017,ens10,Pol,2p6,5.819254559733893
2017,ens10,Ref,2p6,5.819292756820729
2017,ens10,Ref,8p5,5.819292756820729
2017,ens11,Pol,2p6,5.819254559733893
2017,ens11,Ref,2p6,5.819292756820729
2017,ens11,Ref,8p5,5.819292756820729
2017,ens12,Pol,2p6,5.819254559733893
2017,ens12,Ref,2p6,5.819292756820729
2017,ens12,Ref,8p5,5.819292756820729
2017,ens13,Pol,2p6,5.819302306092437
2017,ens13,Ref,2p6,5.819340503179271
2017,ens13,Ref,8p5,5.819340503179271
2017,ens2,Pol,2p6,5.8193309539075635
2017,ens2,Ref,2p6,5.81935960172269
2017,ens2,Ref,8p5,5.8193500524509805
2017,ens3,Pol,2p6,5.8193691509943974
2017,ens3,Ref,2p6,5.819407348081232
2017,ens3,Ref,8p5,5.819407348081232
2017,ens4,Pol,2p6,5.819321404635854
2017,ens4,Ref,2p6,5.8193500524509805
2017,ens4,Ref,8p5,5.8193309539075635
2017,ens5,Pol,2p6,5.819311855364145
2017,ens5,Ref,2p6,5.819340503179271
2017,ens5,Ref,8p5,5.819340503179271
2017,ens6,Pol,2p6,5.819340503179271
2017,ens6,Ref,2p6,5.8193691509943974
2017,ens6,Ref,8p5,5.81935960172269
2017,ens7,Pol,2p6,5.819321404635854
2017,ens7,Ref,2p6,5.8193500524509805
2017,ens7,Ref,8p5,5.8193500524509805
2017,ens8,Pol,2p6,5.819321404635854
2017,ens8,Ref,2p6,5.81935960172269
2017,ens8,Ref,8p5,5.8193500524509805
2017,ens9,Pol,2p6,5.8193309539075635
2017,ens9,Ref,2p6,5.8193691509943974
2017,ens9,Ref,8p5,5.8193500524509805
2018,ens1,Pol,2p6,5.794588790910364
2018,ens1,Ref,2p6,5.7946317626330535
2018,ens1,Ref,8p5,5.794660410448179
2018,ens10,Pol,2p6,5.794474199649859
2018,ens10,Ref,2p6,5.794531495280113
2018,ens10,Ref,8p5,5.794531495280113
2018,ens11,Pol,2p6,5.794474199649859
2018,ens11,Ref,2p6,5.794531495280113
2018,ens11,Ref,8p5,5.794531495280113
2018,ens12,Pol,2p6,5.794474199649859
2018,ens12,Ref,2p6,5.794531495280113
2018,ens12,Ref,8p5,5.794531495280113
2018,ens13,Pol,2p6,5.794545819187674
2018,ens13,Ref,2p6,5.794603114817928
2018,ens13,Ref,8p5,5.794603114817928
2018,ens2,Pol,2p6,5.794588790910364
2018,ens2,Ref,2p6,5.7946317626330535
2018,ens2,Ref,8p5,5.79461743872549
2018,ens3,Pol,2p6,5.794646086540616
2018,ens3,Ref,2p6,5.794703382170869
2018,ens3,Ref,8p5,5.794703382170869
2018,ens4,Pol,2p6,5.794574467002801
2018,ens4,Ref,2p6,5.79461743872549
2018,ens4,Ref,8p5,5.794588790910364
2018,ens5,Pol,2p6,5.7945601430952385
2018,ens5,Ref,2p6,5.794603114817928
2018,ens5,Ref,8p5,5.794603114817928
2018,ens6,Pol,2p6,5.794603114817928
2018,ens6,Ref,2p6,5.794646086540616
2018,ens6,Ref,8p5,5.7946317626330535
2018,ens7,Pol,2p6,5.794574467002801
2018,ens7,Ref,2p6,5.79461743872549
2018,ens7,Ref,8p5,5.79461743872549
2018,ens8,Pol,2p6,5.794574467002801
2018,ens8,Ref,2p6,5.7946317626330535
2018,ens8,Ref,8p5,5.79461743872549
2018,ens9,Pol,2p6,5.794588790910364
