year,scen,ens,rcp,usd_rub,ship_type,shipped,prod,share
2015,Pol,ens1,2p6,base,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens1,2p6,base,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens1,2p6,discounted,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens1,2p6,discounted,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens1,2p6,high,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens1,2p6,high,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens1,2p6,low,1A,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens1,2p6,low,1AS,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens10,2p6,base,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens10,2p6,base,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens10,2p6,discounted,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens10,2p6,discounted,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens10,2p6,high,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens10,2p6,high,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens10,2p6,low,1A,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens10,2p6,low,1AS,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens11,2p6,base,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens11,2p6,base,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens11,2p6,discounted,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens11,2p6,discounted,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens11,2p6,high,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens11,2p6,high,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens11,2p6,low,1A,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens11,2p6,low,1AS,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens12,2p6,base,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens12,2p6,base,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens12,2p6,discounted,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens12,2p6,discounted,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens12,2p6,high,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens12,2p6,high,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens12,2p6,low,1A,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens12,2p6,low,1AS,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens13,2p6,base,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens13,2p6,base,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens13,2p6,discounted,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens13,2p6,discounted,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens13,2p6,high,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens13,2p6,high,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens13,2p6,low,1A,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens13,2p6,low,1AS,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens2,2p6,base,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens2,2p6,base,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens2,2p6,discounted,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens2,2p6,discounted,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens2,2p6,high,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens2,2p6,high,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens2,2p6,low,1A,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens2,2p6,low,1AS,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens3,2p6,base,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens3,2p6,base,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens3,2p6,discounted,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens3,2p6,discounted,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens3,2p6,high,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens3,2p6,high,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens3,2p6,low,1A,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens3,2p6,low,1AS,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens4,2p6,base,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens4,2p6,base,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens4,2p6,discounted,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens4,2p6,discounted,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens4,2p6,high,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens4,2p6,high,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens4,2p6,low,1A,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens4,2p6,low,1AS,5.868815279901962,5.868815279901961,1.0000000000000002
2015,Pol,ens5,2p6,base,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens5,2p6,base,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens5,2p6,discounted,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens5,2p6,discounted,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens5,2p6,high,1A,5.868815279901961,5.868815279901961,1
2015,Pol,ens5,2p6,high,1AS,5.868815279901961,5.868815279901961,1
2015,Pol,ens5,2p6,low,1A,5.868815279901962,5.868815279901961,1.0000000000000002
