year,scen,ens,rcp,usd_rub,ship_type,tonne_km
2015,Ref,ens7,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens7,2p6,high,1A,8929.695610523891
2015,Ref,ens7,2p6,high,1AS,9369.982353871352
2015,Ref,ens7,2p6,low,1A,8806.753759311556
2015,Ref,ens7,2p6,low,1AS,9282.97296095331
2015,Ref,ens7,8p5,base,1A,8915.301031601535
2015,Ref,ens7,8p5,base,1AS,9359.850216104327
2015,Ref,ens7,8p5,discounted,1A,8926.621738414025
2015,Ref,ens7,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens7,8p5,high,1A,8929.695610523891
2015,Ref,ens7,8p5,high,1AS,9369.982353871352
2015,Ref,ens7,8p5,low,1A,8806.753759311556
2015,Ref,ens7,8p5,low,1AS,9282.97296095331
2015,Ref,ens8,2p6,base,1A,8915.301031601535
2015,Ref,ens8,2p6,base,1AS,9359.850216104327
2015,Ref,ens8,2p6,discounted,1A,8926.621738414025
2015,Ref,ens8,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens8,2p6,high,1A,8929.695610523891
2015,Ref,ens8,2p6,high,1AS,9369.982353871352
2015,Ref,ens8,2p6,low,1A,8806.753759311556
2015,Ref,ens8,2p6,low,1AS,9282.97296095331
2015,Ref,ens8,8p5,base,1A,8915.301031601535
2015,Ref,ens8,8p5,base,1AS,9359.850216104327
2015,Ref,ens8,8p5,discounted,1A,8926.621738414025
2015,Ref,ens8,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens8,8p5,high,1A,8929.695610523891
2015,Ref,ens8,8p5,high,1AS,9369.982353871352
2015,Ref,ens8,8p5,low,1A,8806.753759311556
2015,Ref,ens8,8p5,low,1AS,9282.97296095331
2015,Ref,ens9,2p6,base,1A,8915.301031601535
2015,Ref,ens9,2p6,base,1AS,9359.850216104327
2015,Ref,ens9,2p6,discounted,1A,8926.621738414025
2015,Ref,ens9,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens9,2p6,high,1A,8929.695610523891
2015,Ref,ens9,2p6,high,1AS,9369.982353871352
2015,Ref,ens9,2p6,low,1A,8806.753759311556
2015,Ref,ens9,2p6,low,1AS,9282.97296095331
2015,Ref,ens9,8p5,base,1A,8915.301031601535
2015,Ref,ens9,8p5,base,1AS,9359.850216104327
2015,Ref,ens9,8p5,discounted,1A,8926.621738414025
2015,Ref,ens9,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens9,8p5,high,1A,8929.695610523891
2015,Ref,ens9,8p5,high,1AS,9369.982353871352
2015,Ref,ens9,8p5,low,1A,8806.753759311556
2015,Ref,ens9,8p5,low,1AS,9282.97296095331
2016,Pol,ens1,2p6,base,1A,7451.564142444707
2016,Pol,ens1,2p6,base,1AS,7746.725405892179
2016,Pol,ens1,2p6,discounted,1A,7451.564142444707
2016,Pol,ens1,2p6,discounted,1AS,7746.725405892179
2016,Pol,ens1,2p6,high,1A,7451.564142444707
2016,Pol,ens1,2p6,high,1AS,7746.725405892179
2016,Pol,ens1,2p6,low,1A,7451.564142444707
2016,Pol,ens1,2p6,low,1AS,7746.725405892179
2016,Pol,ens10,2p6,base,1A,8895.665868357672
2016,Pol,ens10,2p6,base,1AS,10676.935759357792
2016,Pol,ens10,2p6,discounted,1A,8892.724231544113
2016,Pol,ens10,2p6,discounted,1AS,10873.916707290993
2016,Pol,ens10,2p6,high,1A,8908.158751037286
2016,Pol,ens10,2p6,high,1AS,10728.102700995092
2016,Pol,ens10,2p6,low,1A,8801.529007185598
2016,Pol,ens10,2p6,low,1AS,10291.7013859701
2016,Pol,ens11,2p6,base,1A,8896.178687051897
