year,scen,ens,rcp,usd_rub,ship_type,tonne_km
2015,Pol,ens8,2p6,low,1AS,9282.97296095331
2015,Pol,ens9,2p6,base,1A,8915.301031601535
2015,Pol,ens9,2p6,base,1AS,9359.850216104327
2015,Pol,ens9,2p6,discounted,1A,8926.621738414025
2015,Pol,ens9,2p6,discounted,1AS,9342.571250362922
2015,Pol,ens9,2p6,high,1A,8929.695610523891
2015,Pol,ens9,2p6,high,1AS,9369.982353871352
2015,Pol,ens9,2p6,low,1A,8806.753759311556
2015,Pol,ens9,2p6,low,1AS,9282.97296095331
2015,Ref,ens1,2p6,base,1A,8915.301031601535
2015,Ref,ens1,2p6,base,1AS,9359.850216104327
2015,Ref,ens1,2p6,discounted,1A,8926.621738414025
2015,Ref,ens1,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens1,2p6,high,1A,8929.695610523891
2015,Ref,ens1,2p6,high,1AS,9369.982353871352
2015,Ref,ens1,2p6,low,1A,8806.753759311556
2015,Ref,ens1,2p6,low,1AS,9282.97296095331
2015,Ref,ens1,8p5,base,1A,8915.301031601535
2015,Ref,ens1,8p5,base,1AS,9359.850216104327
2015,Ref,ens1,8p5,discounted,1A,8926.621738414025
2015,Ref,ens1,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens1,8p5,high,1A,8929.695610523891
2015,Ref,ens1,8p5,high,1AS,9369.982353871352
2015,Ref,ens1,8p5,low,1A,8806.753759311556
2015,Ref,ens1,8p5,low,1AS,9282.97296095331
2015,Ref,ens10,2p6,base,1A,8915.301031601535
2015,Ref,ens10,2p6,base,1AS,9359.850216104327
2015,Ref,ens10,2p6,discounted,1A,8926.621738414025
2015,Ref,ens10,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens10,2p6,high,1A,8929.695610523891
2015,Ref,ens10,2p6,high,1AS,9369.982353871352
2015,Ref,ens10,2p6,low,1A,8806.753759311556
2015,Ref,ens10,2p6,low,1AS,9282.97296095331
2015,Ref,ens10,8p5,base,1A,8915.301031601535
2015,Ref,ens10,8p5,base,1AS,9359.850216104327
2015,Ref,ens10,8p5,discounted,1A,8926.621738414025
2015,Ref,ens10,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens10,8p5,high,1A,8929.695610523891
2015,Ref,ens10,8p5,high,1AS,9369.982353871352
2015,Ref,ens10,8p5,low,1A,8806.753759311556
2015,Ref,ens10,8p5,low,1AS,9282.97296095331
2015,Ref,ens11,2p6,base,1A,8915.301031601535
2015,Ref,ens11,2p6,base,1AS,9359.850216104327
2015,Ref,ens11,2p6,discounted,1A,8926.621738414025
2015,Ref,ens11,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens11,2p6,high,1A,8929.695610523891
2015,Ref,ens11,2p6,high,1AS,9369.982353871352
2015,Ref,ens11,2p6,low,1A,8806.753759311556
2015,Ref,ens11,2p6,low,1AS,9282.97296095331
2015,Ref,ens11,8p5,base,1A,8915.301031601535
2015,Ref,ens11,8p5,base,1AS,9359.850216104327
2015,Ref,ens11,8p5,discounted,1A,8926.621738414025
2015,Ref,ens11,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens11,8p5,high,1A,8929.695610523891
2015,Ref,ens11,8p5,high,1AS,9369.982353871352
2015,Ref,ens11,8p5,low,1A,8806.753759311556
2015,Ref,ens11,8p5,low,1AS,9282.97296095331
2015,Ref,ens12,2p6,base,1A,8915.301031601535
2015,Ref,ens12,2p6,base,1AS,9359.850216104327
2015,Ref,ens12,2p6,discounted,1A,8926.621738414025
2015,Ref,ens12,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens12,2p6,high,1A,8929.695610523891
2015,Ref,ens12,2p6,high,1AS,9369.982353871352
2015,Ref,ens12,2p6,low,1A,8806.753759311556
2015,Ref,ens12,2p6,low,1AS,9282.97296095331
2015,Ref,ens12,8p5,base,1A,8915.301031601535
2015,Ref,ens12,8p5,base,1AS,9359.850216104327
2015,Ref,ens12,8p5,discounted,1A,8926.621738414025
2015,Ref,ens12,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens12,8p5,high,1A,8929.695610523891
2015,Ref,ens12,8p5,high,1AS,9369.982353871352
2015,Ref,ens12,8p5,low,1A,8806.753759311556
2015,Ref,ens12,8p5,low,1AS,9282.97296095331
2015,Ref,ens13,2p6,base,1A,8915.301031601535
2015,Ref,ens13,2p6,base,1AS,9359.850216104327
2015,Ref,ens13,2p6,discounted,1A,8926.621738414025
2015,Ref,ens13,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens13,2p6,high,1A,8929.695610523891
2015,Ref,ens13,2p6,high,1AS,9369.982353871352
2015,Ref,ens13,2p6,low,1A,8806.753759311556
2015,Ref,ens13,2p6,low,1AS,9282.97296095331
2015,Ref,ens13,8p5,base,1A,8915.301031601535
2015,Ref,ens13,8p5,base,1AS,9359.850216104327
2015,Ref,ens13,8p5,discounted,1A,8926.621738414025
2015,Ref,ens13,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens13,8p5,high,1A,8929.695610523891
2015,Ref,ens13,8p5,high,1AS,9369.982353871352
2015,Ref,ens13,8p5,low,1A,8806.753759311556
2015,Ref,ens13,8p5,low,1AS,9282.97296095331
2015,Ref,ens2,2p6,base,1A,8915.301031601535
2015,Ref,ens2,2p6,base,1AS,9359.850216104327
2015,Ref,ens2,2p6,discounted,1A,8926.621738414025
2015,Ref,ens2,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens2,2p6,high,1A,8929.695610523891
2015,Ref,ens2,2p6,high,1AS,9369.982353871352
2015,Ref,ens2,2p6,low,1A,8806.753759311556
2015,Ref,ens2,2p6,low,1AS,9282.97296095331
2015,Ref,ens2,8p5,base,1A,8915.301031601535
2015,Ref,ens2,8p5,base,1AS,9359.850216104327
2015,Ref,ens2,8p5,discounted,1A,8926.621738414025
2015,Ref,ens2,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens2,8p5,high,1A,8929.695610523891
2015,Ref,ens2,8p5,high,1AS,9369.982353871352
2015,Ref,ens2,8p5,low,1A,8806.753759311556
2015,Ref,ens2,8p5,low,1AS,9282.97296095331
2015,Ref,ens3,2p6,base,1A,8915.301031601535
2015,Ref,ens3,2p6,base,1AS,9359.850216104327
2015,Ref,ens3,2p6,discounted,1A,8926.621738414025
2015,Ref,ens3,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens3,2p6,high,1A,8929.695610523891
2015,Ref,ens3,2p6,high,1AS,9369.982353871352
2015,Ref,ens3,2p6,low,1A,8806.753759311556
2015,Ref,ens3,2p6,low,1AS,9282.97296095331
2015,Ref,ens3,8p5,base,1A,8915.301031601535
2015,Ref,ens3,8p5,base,1AS,9359.850216104327
2015,Ref,ens3,8p5,discounted,1A,8926.621738414025
2015,Ref,ens3,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens3,8p5,high,1A,8929.695610523891
2015,Ref,ens3,8p5,high,1AS,9369.982353871352
2015,Ref,ens3,8p5,low,1A,8806.753759311556
2015,Ref,ens3,8p5,low,1AS,9282.97296095331
2015,Ref,ens4,2p6,base,1A,8915.301031601535
2015,Ref,ens4,2p6,base,1AS,9359.850216104327
2015,Ref,ens4,2p6,discounted,1A,8926.621738414025
2015,Ref,ens4,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens4,2p6,high,1A,8929.695610523891
2015,Ref,ens4,2p6,high,1AS,9369.982353871352
2015,Ref,ens4,2p6,low,1A,8806.753759311556
2015,Ref,ens4,2p6,low,1AS,9282.97296095331
2015,Ref,ens4,8p5,base,1A,8915.301031601535
2015,Ref,ens4,8p5,base,1AS,9359.850216104327
2015,Ref,ens4,8p5,discounted,1A,8926.621738414025
2015,Ref,ens4,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens4,8p5,high,1A,8929.695610523891
2015,Ref,ens4,8p5,high,1AS,9369.982353871352
2015,Ref,ens4,8p5,low,1A,8806.753759311556
2015,Ref,ens4,8p5,low,1AS,9282.97296095331
2015,Ref,ens5,2p6,base,1A,8915.301031601535
2015,Ref,ens5,2p6,base,1AS,9359.850216104327
2015,Ref,ens5,2p6,discounted,1A,8926.621738414025
2015,Ref,ens5,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens5,2p6,high,1A,8929.695610523891
2015,Ref,ens5,2p6,high,1AS,9369.982353871352
2015,Ref,ens5,2p6,low,1A,8806.753759311556
2015,Ref,ens5,2p6,low,1AS,9282.97296095331
2015,Ref,ens5,8p5,base,1A,8915.301031601535
2015,Ref,ens5,8p5,base,1AS,9359.850216104327
2015,Ref,ens5,8p5,discounted,1A,8926.621738414025
2015,Ref,ens5,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens5,8p5,high,1A,8929.695610523891
2015,Ref,ens5,8p5,high,1AS,9369.982353871352
2015,Ref,ens5,8p5,low,1A,8806.753759311556
2015,Ref,ens5,8p5,low,1AS,9282.97296095331
2015,Ref,ens6,2p6,base,1A,8915.301031601535
2015,Ref,ens6,2p6,base,1AS,9359.850216104327
2015,Ref,ens6,2p6,discounted,1A,8926.621738414025
2015,Ref,ens6,2p6,discounted,1AS,9342.571250362922
2015,Ref,ens6,2p6,high,1A,8929.695610523891
2015,Ref,ens6,2p6,high,1AS,9369.982353871352
2015,Ref,ens6,2p6,low,1A,8806.753759311556
2015,Ref,ens6,2p6,low,1AS,9282.97296095331
2015,Ref,ens6,8p5,base,1A,8915.301031601535
2015,Ref,ens6,8p5,base,1AS,9359.850216104327
2015,Ref,ens6,8p5,discounted,1A,8926.621738414025
2015,Ref,ens6,8p5,discounted,1AS,9342.571250362922
2015,Ref,ens6,8p5,high,1A,8929.695610523891
2015,Ref,ens6,8p5,high,1AS,9369.982353871352
2015,Ref,ens6,8p5,low,1A,8806.753759311556
2015,Ref,ens6,8p5,low,1AS,9282.97296095331
2015,Ref,ens7,2p6,base,1A,8915.301031601535
2015,Ref,ens7,2p6,base,1AS,9359.850216104327
2015,Ref,ens7,2p6,discounted,1A,8926.621738414025
